what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1320466867704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320466876050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320466895331
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320466897531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320466898935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1320466898935
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320466915783
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320466918435
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320466929823
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320466960789
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320466963378
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320466967390
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320466967454
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1320466967524
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467013944
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467014128
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467018142
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467018327
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467051964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467054499
started,bundle,com.google.gdt.eclipse.designer.hosted,2.3.0.r36x201105061507,"com.google.gdt.eclipse.designer.hosted",1320467059914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467061444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467067225
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467069086
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467069092
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467084667
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467098936
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467117492
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467120987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467124481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467125962
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467132341
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467137313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467141807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467143296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467147388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467148616
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467148622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467150237
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467151036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467151042
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467159273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467160497
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467162277
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467163334
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467163340
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467169806
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467181277
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467185054
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467186858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467189992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467191123
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467191129
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467196816
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467197001
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467198607
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1320467215066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1320467215113
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1320467215940
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467217412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467217586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467217729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467217879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467218021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467218163
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467218313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467218463
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467218606
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467218764
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467218938
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1320467222354
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1320467222418
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1320467222641
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1320467222643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320467223274
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467227925
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467229339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467242173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467255061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467255258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467255456
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320467257689
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467260015
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467261063
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467273806
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467273947
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1320467274241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320467274657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467279855
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467304444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467319267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467346421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467348107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467357741
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1320467402801
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320467408845
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467411360
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467413869
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467415175
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1320467415178
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467419908
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467429418
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467431713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467456639
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.clean.up",1320467456649
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467469542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467471085
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1320467471087
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467482335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467483587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467484487
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467487694
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467489190
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467502539
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467502671
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467504306
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467506356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467594341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467636093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467644906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467653505
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467658838
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467661564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467663862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467665538
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467666742
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467669668
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467673888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467678301
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320467680008
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467823112
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467835418
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467931939
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467937320
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467937492
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1320467959033
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467959328
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1320467959393
